Burst_Name,Burst_Image,BurstID,Simple,Extended,Other,Too Noisy,Verify,Follow
GRB041217,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB041217_100116.png,95372762,15,3,1,0,,"[13, 5, 2, 0, 0, 0]"
GRB041219C,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB041219C_100380.png,95372765,16,5,2,2,,"[9, 12, 1, 0, 2, 4]"
GRB041220,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB041220_100433.png,95372767,13,1,2,0,Simple,"[11, 5, 0, 0, 0, 0]"
GRB041223,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB041223_100585.png,95372768,2,10,15,1,,"[6, 9, 23, 0, 1, 2]"
GRB041224,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB041224_100703.png,95372769,2,5,16,0,,"[13, 9, 14, 0, 1, 2]"
GRB041226,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB041226_100815.png,95372770,14,5,8,1,,"[15, 2, 9, 0, 1, 2]"
GRB041228,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB041228_100970.png,95372771,3,12,15,1,,"[5, 12, 13, 0, 2, 3]"
GRB050117,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050117_102861.png,95372774,0,3,12,0,Other,"[8, 3, 12, 0, 0, 0]"
GRB050124,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050124_103647.png,95372775,18,6,2,0,,"[10, 11, 4, 0, 3, 3]"
GRB050126,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050126_103780.png,95372777,10,15,8,1,,"[5, 18, 13, 0, 3, 4]"
GRB050128,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050128_103906.png,95372780,3,8,15,2,,"[5, 4, 19, 0, 2, 5]"
GRB050202,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050202_104298.png,95372781,20,0,13,4,,"[19, 4, 0, 0, 11, 15]"
GRB050215A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050215A_106106.png,95372782,4,13,10,11,,"[10, 1, 11, 0, 8, 19]"
GRB050215B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050215B_106107.png,95372783,11,7,2,0,,"[8, 7, 7, 0, 0, 0]"
GRB050219A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050219A_106415.png,95372784,17,3,8,1,,"[18, 3, 11, 0, 1, 3]"
GRB050219B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050219B_106442.png,95372785,19,4,8,1,,"[20, 2, 9, 0, 2, 3]"
GRB050223,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050223_106709.png,95372786,7,9,17,4,,"[12, 4, 17, 0, 5, 9]"
GRB050306,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050306_107547.png,95372789,1,4,16,5,,"[4, 5, 18, 0, 0, 5]"
GRB050315,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050315_111063.png,95372791,8,9,14,4,,"[9, 13, 22, 0, 2, 6]"
GRB050318,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050318_111529.png,95372793,1,2,14,0,Other,"[7, 5, 7, 0, 1, 2]"
GRB050319,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050319_111622.png,95372795,1,4,16,2,,"[3, 9, 13, 0, 1, 3]"
GRB050326,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050326_112453.png,95372796,1,3,18,0,Other,"[8, 11, 13, 0, 0, 0]"
GRB050401,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050401_113120.png,95372797,0,1,13,1,Other,"[9, 7, 9, 0, 1, 2]"
GRB050406,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050406_113872.png,95372798,16,2,4,0,,"[16, 1, 5, 0, 2, 2]"
GRB050410,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050410_114299.png,95372799,9,9,11,1,,"[6, 13, 13, 0, 1, 2]"
GRB050412,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050412_114485.png,95372801,5,7,11,3,,"[9, 2, 11, 0, 3, 6]"
GRB050416A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050416A_114753.png,95372803,25,8,0,4,,"[13, 18, 2, 0, 2, 6]"
GRB050416B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050416B_114797.png,95372805,20,1,0,1,Simple,"[10, 8, 1, 0, 1, 2]"
GRB050418,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050418_114893.png,95372807,1,11,15,1,,"[14, 6, 24, 0, 0, 1]"
GRB050421,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050421_115135.png,95372808,19,4,5,11,,"[9, 12, 1, 0, 6, 20]"
GRB050422,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050422_115214.png,95372809,4,2,15,2,,"[12, 0, 8, 0, 1, 6]"
GRB050502B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050502B_116116.png,95372810,2,0,13,0,Other,"[14, 4, 4, 0, 1, 1]"
GRB050505,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050505_117504.png,95372811,1,4,12,2,,"[7, 6, 12, 0, 1, 3]"
GRB050507,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050507_118248.png,95372813,4,9,14,9,,"[14, 5, 12, 0, 1, 11]"
